State,Account length,Area code,International plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls
KS,128,415,0,25,265.1,110,197.4,99,244.7,91,10.0,3,1
OH,107,415,0,26,161.6,123,195.5,103,254.4,103,13.7,3,1
NJ,137,415,0,0,243.4,114,121.2,110,162.6,104,12.2,5,0
OH,84,408,1,0,299.4,71,61.9,88,196.9,89,6.6,7,2
OK,75,415,1,0,166.7,113,148.3,122,186.9,121,10.1,3,3
AL,118,510,1,0,223.4,98,220.6,101,203.9,118,6.3,6,0
MA,121,510,0,24,218.2,88,348.5,108,212.6,118,7.5,7,3
MO,147,415,1,0,157.0,79,103.1,94,211.8,96,7.1,6,0
WV,141,415,1,37,258.6,84,222.0,111,326.4,97,11.2,5,0
RI,74,415,0,0,187.7,127,163.4,148,196.0,94,9.1,5,0
IA,168,408,0,0,128.8,96,104.9,71,141.1,128,11.2,2,1
MT,95,510,0,0,156.6,88,247.6,75,192.3,115,12.3,5,3
IA,62,415,0,0,120.7,70,307.2,76,203.0,99,13.1,6,4
ID,85,408,0,27,196.4,139,280.9,90,89.3,75,13.8,4,1
VT,93,510,0,0,190.7,114,218.2,111,129.6,121,8.1,3,3
VA,76,510,0,33,189.7,66,212.8,65,165.7,108,10.0,5,1
TX,73,415,0,0,224.4,90,159.5,88,192.8,74,13.0,2,1
FL,147,415,0,0,155.1,117,239.7,93,208.8,133,10.6,4,0
CO,77,408,0,0,62.4,89,169.9,121,209.6,64,5.7,6,5
AZ,130,415,0,0,183.0,112,72.9,99,181.8,78,9.5,19,0
VA,132,510,0,0,81.1,86,245.2,72,237.0,115,10.3,2,0
NE,174,415,0,0,124.3,76,277.1,112,250.7,115,15.5,5,3
WY,57,408,0,39,213.0,115,191.1,112,182.7,115,9.5,3,0
MT,54,408,0,0,134.3,73,155.5,100,102.1,68,14.7,4,3
MO,20,415,0,0,190.0,109,258.2,84,181.5,102,6.3,6,0
IL,142,415,0,0,84.8,95,136.7,63,250.5,148,14.2,6,2
NH,75,510,0,0,226.1,105,201.5,107,246.2,98,10.3,5,1
